pk_NLX,root_meaning,connotation,opposite_connotation,related,ML_orient,ML_group,category,ord#,note
wfx001,particle,"body, natural object, distinguishability",,"physical model, emergent system",iterate,tension,i.balance,1,wfx001 is a special case of this join type; serves core function as proto-content; no direct representational capacity
wfx002,vehicle,carrier,,"physical model, complex emergent system",iterate,tension,i.balance,1,wfx002 is a special case of this join type; serves core function as proto-content; no direct representational capacity
wfx003,mode,"precursor, vessel, unrealized, subjunctive",,"physical model, complex emergent system",iterate,tension,i.balance,1,wfx003 is a special case of this join type; serves core function as proto-content; no direct representational capacity
wfx004,rapport,affinity,,"trust, repair",embed,tension,e.balance,2,
wfx005,intuition,gnosis,,,embed,tension,e.balance,2,
wfx006,bliss,gladness,anger,,embed,tension,e.balance,2,
wfx007,acceptance,,,,iterate,tension,i.balance,3,
wfx008,will,volition,,,iterate,tension,i.balance,3,
wfx009,wonder,marvel,,,iterate,tension,i.balance,3,
wfx010,permanence,lasting,,,embed,tension,e.balance,4,
wfx011,conscientiousness,"cognizant, scrupulousness",,conscious awareness,embed,tension,e.balance,4,
wfx012,separateness,"distinctness, boundaried",,,embed,tension,e.balance,4,
wfx013,perspective,"stance, appearance",,,iterate,tension,i.balance,5,
wfx014,logic,system of rules,,,iterate,tension,i.balance,5,
wfx015,intent,"design, significance",distracted,,iterate,tension,i.balance,5,
wfx016,being,existing,,,embed,tension,e.balance,6,
wfx017,knowing,informed,,,embed,tension,e.balance,6,
wfx018,feeling,"sense experience, sentiment",,,embed,tension,e.balance,6,
wfx019,justice,rightfulness,unjust,fairness,iterate,tension,i.balance,7,
wfx020,power,"aptitude, accomplishment",,,iterate,tension,i.balance,7,
wfx021,love,attend to,,,iterate,tension,i.balance,7,
wfx022,material content,"tangible, substantial",,,embed,tension,e.balance,8,
wfx023,mental content,,,,embed,tension,e.balance,8,
wfx024,emotional content,,,,embed,tension,e.balance,8,
wfx025,transient,,,,iterate,tension,i.novelty,1,
wfx026,dispersing,,,,iterate,tension,i.novelty,1,
wfx027,momentum,,,,iterate,tension,i.novelty,1,
wfx028,neglect,disregard,,,embed,tension,e.novelty,2,
wfx029,duty,over-care,,,embed,tension,e.novelty,2,
wfx030,comfort,salvation,,,embed,tension,e.novelty,2,
