pk-NLX,root meaning,MLXtype-desc,level,MLX-orient,MLX-nav,MLXtype,connotation
wfx001,particle,iterate.balance,1,AB,EH,AB.EH,"body, natural object, distinguishability"
wfx002,vehicle,iterate.balance,1,AB,EH,AB.EH,carrier
wfx003,mode,iterate.balance,1,AB,EH,AB.EH,"precursor, vessel, unrealized, subjunctive"
wfx004,rapport,embed.balance,2,AC,EH,AC.EH,affinity
wfx005,intuition,embed.balance,2,AC,EH,AC.EH,gnosis
wfx006,bliss,embed.balance,2,AC,EH,AC.EH,gladness
wfx007,acceptance,iterate.balance,3,AB,EH,AB.EH,
wfx008,will,iterate.balance,3,AB,EH,AB.EH,volition
wfx009,wonder,iterate.balance,3,AB,EH,AB.EH,marvel
wfx010,permanence,embed.balance,4,AC,EH,AC.EH,lasting
wfx011,conscientiousness,embed.balance,4,AC,EH,AC.EH,"cognizant, scrupulousness"
wfx012,separateness,embed.balance,4,AC,EH,AC.EH,"distinctness, boundaried"
wfx013,perspective,iterate.balance,5,AB,EH,AB.EH,"stance, appearance"
wfx014,logic,iterate.balance,5,AB,EH,AB.EH,system of rules
wfx015,intent,iterate.balance,5,AB,EH,AB.EH,"design, significance"
wfx016,being,embed.balance,6,AC,EH,AC.EH,existing
wfx017,knowing,embed.balance,6,AC,EH,AC.EH,informed
wfx018,feeling,embed.balance,6,AC,EH,AC.EH,"sense experience, sentiment"
wfx019,justice,iterate.balance,7,AB,EH,AB.EH,rightfulness
wfx020,power,iterate.balance,7,AB,EH,AB.EH,"aptitude, accomplishment"
wfx021,love,iterate.balance,7,AB,EH,AB.EH,attend to
wfx022,material content,embed.balance,8,AC,EH,AC.EH,"tangible, substantial"
wfx023,mental content,embed.balance,8,AC,EH,AC.EH,
wfx024,emotional content,embed.balance,8,AC,EH,AC.EH,
wfx025,transient,iterate.novelty,1,AB,EF,AB.EF,
wfx026,dispersing,iterate.novelty,1,AB,EF,AB.EF,
wfx027,momentum,iterate.novelty,1,AB,EF,AB.EF,
wfx028,neglect,embed.novelty,2,AC,EF,AC.EF,disregard
wfx029,duty,embed.novelty,2,AC,EF,AC.EF,over-care
wfx030,comfort,embed.novelty,2,AC,EF,AC.EF,salvation
wfx031,joy,iterate.novelty,3,AB,EF,AB.EF,delight
wfx032,courage,iterate.novelty,3,AB,EF,AB.EF,
wfx033,presence,iterate.novelty,3,AB,EF,AB.EF,self-possessed
wfx034,boredom,embed.novelty,4,AC,EF,AC.EF,tiresome
wfx035,craziness,embed.novelty,4,AC,EF,AC.EF,
wfx036,isolation,embed.novelty,4,AC,EF,AC.EF,--
wfx037,arising,iterate.novelty,5,AB,EF,AB.EF,a posteriori
wfx038,flexibility,iterate.novelty,5,AB,EF,AB.EF,contingency
wfx039,consideration,iterate.novelty,5,AB,EF,AB.EF,
wfx040,laziness,embed.novelty,6,AC,EF,AC.EF,
wfx041,ignorance,embed.novelty,6,AC,EF,AC.EF,
wfx042,rage,embed.novelty,6,AC,EF,AC.EF,
wfx043,forgiveness,iterate.novelty,7,AB,EF,AB.EF,redemption
wfx044,initiative,iterate.novelty,7,AB,EF,AB.EF,
wfx045,longing,iterate.novelty,7,AB,EF,AB.EF,yearn
wfx046,probability,embed.novelty,8,AC,EF,AC.EF,tendencies
wfx047,uncertainty,embed.novelty,8,AC,EF,AC.EF,ambiguity
wfx048,chaos,embed.novelty,8,AC,EF,AC.EF,disorder
wfx049,persistent,iterate.pattern,1,AB,EG,AB.EG,
wfx050,gathering,iterate.pattern,1,AB,EG,AB.EG,
wfx051,position,iterate.pattern,1,AB,EG,AB.EG,
wfx052,consensus,embed.pattern,2,AC,EG,AC.EG,consent
wfx053,dualism,embed.pattern,2,AC,EG,AC.EG,oversimplification
wfx054,denial,embed.pattern,2,AC,EG,AC.EG,
wfx055,attachment,iterate.pattern,3,AB,EG,AB.EG,
wfx056,control,iterate.pattern,3,AB,EG,AB.EG,
wfx057,fear,iterate.pattern,3,AB,EG,AB.EG,
wfx058,anticipation,embed.pattern,4,AC,EG,AC.EG,
wfx059,morality,embed.pattern,4,AC,EG,AC.EG,
wfx060,apathy,embed.pattern,4,AC,EG,AC.EG,indifferent
wfx061,assumptions,iterate.pattern,5,AB,EG,AB.EG,a priori
wfx062,rigidity,iterate.pattern,5,AB,EG,AB.EG,necessity
wfx063,determination,iterate.pattern,5,AB,EG,AB.EG,
wfx064,consistency,embed.pattern,6,AC,EG,AC.EG,
wfx065,justification,embed.pattern,6,AC,EG,AC.EG,
wfx066,sorrow,embed.pattern,6,AC,EG,AC.EG,
wfx067,retribution,iterate.pattern,7,AB,EG,AB.EG,karma
